pojemnosc_baku,marka,moc,spalanie
53,mercedes,150,15
89,audi,697,9
28,ferrari,111,15
43,audi,127,8
47,pontiac,935,14
60,ferrari,840,19
44,pontiac,969,7
22,skoda,336,5
54,skoda,638,9
20,ferrari,190,19
81,toyota,690,14
35,skoda,749,16
98,toyota,296,9
34,pontiac,785,16
87,audi,703,17
37,audi,126,13
43,skoda,165,14
79,pontiac,993,17
81,mercedes,580,13
75,ferrari,559,19
97,porsche,609,6
76,volkswagen,377,6
37,volkswagen,626,7
80,skoda,912,7
77,mitsubishi,876,19
96,porsche,434,12
40,mitsubishi,836,19
44,ferrari,704,13
92,mitsubishi,682,7
61,porsche,589,20
88,ferrari,117,8
69,mitsubishi,657,16
56,skoda,247,19
94,pontiac,273,17
46,porsche,258,5
94,audi,570,11
43,audi,699,6
20,mitsubishi,729,20
70,porsche,960,7
90,skoda,200,7
20,ferrari,787,13
96,skoda,87,9
42,mitsubishi,278,15
79,skoda,821,15
84,ferrari,332,10
68,ferrari,723,15
49,mercedes,116,10
50,ferrari,818,12
38,volkswagen,949,12
99,porsche,674,10
31,ferrari,647,8
58,ferrari,256,16
35,audi,961,17
51,volkswagen,873,10
98,volkswagen,797,9
38,skoda,754,14
64,porsche,312,13
88,pontiac,455,12
54,pontiac,925,9
80,pontiac,997,8
66,skoda,582,16
28,porsche,114,8
92,pontiac,439,10
22,volkswagen,910,12
77,mitsubishi,163,13
63,volkswagen,359,19
60,pontiac,56,13
38,mercedes,692,17
25,pontiac,629,18
56,pontiac,263,7
61,audi,680,13
40,mitsubishi,435,8
45,pontiac,737,8
30,mitsubishi,358,10
26,skoda,608,19
87,ferrari,630,11
20,volkswagen,499,18
36,porsche,509,10
31,pontiac,746,6
62,toyota,338,12
48,mercedes,885,13
98,mercedes,862,16
34,porsche,496,17
47,ferrari,923,13
20,ferrari,824,8
44,toyota,69,19
68,porsche,616,10
43,mitsubishi,354,20
99,ferrari,150,18
68,porsche,400,19
37,pontiac,261,8
27,skoda,56,13
87,porsche,182,18
45,volkswagen,578,11
73,toyota,476,5
68,pontiac,703,9
43,pontiac,867,12
65,volkswagen,966,15
38,ferrari,913,19
29,mitsubishi,729,15
49,porsche,254,6
44,ferrari,742,6
45,mitsubishi,423,16
96,toyota,277,18
92,pontiac,961,20
76,audi,465,5
61,mitsubishi,697,9
37,pontiac,595,18
95,audi,479,6
88,pontiac,446,16
43,toyota,197,17
66,mercedes,393,13
35,pontiac,892,6
98,mercedes,429,18
75,volkswagen,524,14
92,mitsubishi,682,15
78,mercedes,705,16
65,toyota,183,13
93,volkswagen,432,7
57,mitsubishi,802,10
72,audi,90,16
69,toyota,745,6
88,skoda,383,5
47,mercedes,151,19
86,toyota,370,13
21,mercedes,457,14
49,porsche,409,12
28,skoda,433,20
54,pontiac,880,8
53,toyota,783,11
23,toyota,119,7
48,pontiac,365,17
70,toyota,700,19
43,audi,260,20
28,ferrari,639,16
64,mercedes,457,13
33,volkswagen,942,10
93,ferrari,332,10
60,toyota,954,12
28,pontiac,900,12
38,skoda,219,8
75,mitsubishi,433,17
32,mercedes,990,8
83,mercedes,353,6
51,mitsubishi,438,8
42,volkswagen,956,14
41,ferrari,791,20
26,audi,975,20
26,toyota,878,12
67,pontiac,747,12
83,skoda,726,11
55,mercedes,717,19
46,porsche,294,15
36,audi,361,9
79,mercedes,875,9
41,audi,239,13
28,toyota,902,18
88,mitsubishi,912,11
46,skoda,747,13
96,ferrari,541,11
27,ferrari,206,8
62,mercedes,688,9
88,pontiac,822,12
70,ferrari,589,7
72,mitsubishi,214,12
94,pontiac,748,7
58,pontiac,343,17
27,pontiac,147,20
96,audi,514,9
63,mercedes,623,19
46,pontiac,406,12
52,skoda,330,11
55,porsche,484,7
84,skoda,763,12
28,mitsubishi,210,17
100,pontiac,705,7
100,skoda,576,7
57,mercedes,832,9
24,toyota,178,6
63,ferrari,98,11
95,audi,829,18
83,ferrari,403,6
93,pontiac,711,14
28,volkswagen,866,6
85,ferrari,484,18
23,mercedes,588,15
94,audi,573,5
68,audi,168,5
48,porsche,227,17
70,volkswagen,479,19
22,toyota,494,6
68,toyota,209,18
76,ferrari,537,18
48,mitsubishi,933,19
65,pontiac,162,13
56,porsche,373,10
34,pontiac,272,9
53,porsche,362,14
22,audi,281,20
46,ferrari,532,5
73,volkswagen,704,13
26,audi,77,10
89,porsche,373,16
92,mitsubishi,708,6
88,mercedes,994,18
59,porsche,714,10
74,toyota,886,20
53,porsche,654,18
86,mitsubishi,723,11
90,mitsubishi,62,14
55,mitsubishi,879,7
36,audi,883,10
64,ferrari,758,16
91,mercedes,816,8
58,mercedes,989,19
35,audi,77,8
76,volkswagen,813,16
29,skoda,381,15
70,ferrari,735,17
28,volkswagen,307,17
28,ferrari,246,13
36,pontiac,94,11
29,porsche,565,13
65,pontiac,629,10
22,ferrari,455,19
93,mitsubishi,821,5
76,audi,976,10
21,skoda,906,7
68,mitsubishi,228,6
59,volkswagen,453,13
43,audi,421,12
21,toyota,472,6
77,porsche,737,16
54,mitsubishi,993,10
67,mercedes,830,10
86,ferrari,356,8
46,toyota,872,18
62,pontiac,583,14
32,toyota,317,11
25,mercedes,604,16
33,porsche,270,18
55,mercedes,739,6
36,toyota,730,16
23,mercedes,371,14
55,toyota,492,10
50,ferrari,668,11
73,volkswagen,581,12
50,audi,794,12
58,toyota,518,19
72,mercedes,811,11
32,porsche,155,15
80,skoda,599,17
97,mercedes,153,15
35,audi,674,11
32,mercedes,481,6
51,audi,888,8
46,audi,482,19
33,porsche,72,20
50,audi,106,13
72,toyota,539,18
70,skoda,804,10
39,volkswagen,150,16
95,volkswagen,724,8
83,toyota,469,15
75,pontiac,469,9
46,volkswagen,718,10
66,audi,51,9
66,mercedes,814,12
77,toyota,308,6
62,porsche,555,8
75,porsche,227,19
31,toyota,997,9
68,porsche,392,11
48,pontiac,404,14
57,mercedes,851,10
85,mercedes,678,7
46,mercedes,61,17
54,toyota,390,13
95,volkswagen,392,10
71,pontiac,84,17
69,toyota,738,7
40,mercedes,530,15
95,audi,634,12
86,skoda,260,12
21,volkswagen,80,12
44,pontiac,353,20
56,pontiac,368,13
96,skoda,461,15
39,volkswagen,797,16
92,ferrari,512,17
52,audi,519,19
66,pontiac,267,6
93,toyota,75,18
44,mitsubishi,612,14
71,ferrari,610,7
54,mitsubishi,730,13
36,pontiac,263,12
38,mitsubishi,531,9
59,volkswagen,530,14
31,ferrari,172,7
58,audi,342,13
71,ferrari,413,13
98,mitsubishi,128,9
72,skoda,908,11
79,mitsubishi,654,10
66,mitsubishi,772,20
63,toyota,327,13
36,skoda,654,18
47,ferrari,316,18
99,skoda,145,9
29,ferrari,98,8
95,pontiac,307,20
64,pontiac,189,8
45,mitsubishi,105,11
40,toyota,364,9
44,mercedes,723,15
75,ferrari,295,9
38,audi,384,18
23,porsche,302,19
62,toyota,344,9
24,volkswagen,158,19
37,skoda,207,20
42,mercedes,875,12
66,mercedes,856,5
31,audi,474,10
88,pontiac,723,15
22,ferrari,125,7
75,pontiac,61,17
41,volkswagen,439,18
76,mercedes,285,15
98,ferrari,644,13
26,porsche,50,13
66,mitsubishi,895,13
22,toyota,262,5
81,audi,940,17
34,volkswagen,717,7
56,audi,79,10
41,pontiac,870,13
98,ferrari,76,12
44,porsche,665,14
60,ferrari,421,7
49,pontiac,981,15
64,pontiac,260,18
91,pontiac,709,10
74,mitsubishi,341,18
51,skoda,733,13
41,mercedes,403,14
28,mercedes,65,20
62,pontiac,899,19
79,skoda,122,8
81,volkswagen,894,16
36,toyota,895,10
33,mitsubishi,883,6
91,mercedes,309,18
43,volkswagen,203,10
22,porsche,171,9
88,mitsubishi,766,11
75,volkswagen,864,13
91,pontiac,995,11
34,volkswagen,174,9
57,skoda,988,7
91,volkswagen,516,14
31,porsche,667,12
59,porsche,530,7
88,skoda,888,10
28,mitsubishi,188,18
24,pontiac,548,9
97,toyota,980,18
22,toyota,457,18
22,skoda,607,10
50,mercedes,293,12
98,mitsubishi,776,16
78,pontiac,198,14
21,toyota,966,6
57,toyota,88,18
37,audi,799,10
29,porsche,865,11
25,ferrari,201,6
99,skoda,440,12
94,pontiac,636,9
40,mitsubishi,74,14
47,porsche,989,14
87,audi,999,8
47,mercedes,509,15
81,toyota,786,12
21,skoda,745,9
79,toyota,540,6
48,mitsubishi,658,16
58,ferrari,950,10
30,pontiac,782,9
22,skoda,132,7
37,porsche,257,8
47,toyota,688,8
49,mitsubishi,614,14
85,volkswagen,161,19
56,pontiac,105,10
66,ferrari,905,6
28,mitsubishi,906,16
90,mercedes,777,18
92,audi,277,8
68,porsche,358,17
96,audi,603,19
50,toyota,932,5
28,porsche,175,18
87,audi,989,12
93,toyota,274,16
31,mercedes,607,15
27,audi,226,6
35,mercedes,603,18
55,ferrari,979,12
71,mercedes,967,11
64,toyota,777,14
54,audi,347,12
46,porsche,453,18
62,mercedes,740,12
38,volkswagen,290,15
34,volkswagen,954,16
36,audi,815,19
52,ferrari,587,5
65,skoda,906,9
22,skoda,266,6
66,skoda,748,19
67,pontiac,207,14
50,porsche,597,12
68,toyota,209,18
43,mitsubishi,239,10
56,skoda,422,7
21,porsche,383,11
87,volkswagen,152,12
29,ferrari,627,7
80,ferrari,432,11
61,ferrari,702,18
44,audi,376,19
53,pontiac,564,11
70,skoda,380,18
99,audi,731,15
49,volkswagen,128,19
53,ferrari,426,12
57,mercedes,527,9
39,skoda,181,11
23,skoda,90,18
60,skoda,152,14
38,volkswagen,744,17
26,toyota,566,18
30,porsche,399,7
76,ferrari,330,8
85,audi,531,14
62,porsche,956,15
95,audi,250,7
62,audi,448,15
62,mercedes,728,6
57,volkswagen,578,20
90,mercedes,952,11
92,pontiac,315,17
51,audi,174,13
36,mercedes,275,13
86,volkswagen,481,18
82,audi,656,16
92,mitsubishi,972,13
21,ferrari,392,12
53,audi,996,7
38,skoda,340,9
52,porsche,483,6
59,volkswagen,249,8
58,mitsubishi,226,18
86,volkswagen,322,10
73,mitsubishi,270,6
99,audi,999,15
52,mitsubishi,644,9
92,pontiac,211,14
52,skoda,418,12
84,toyota,546,5
69,pontiac,455,8
95,porsche,644,9
57,volkswagen,214,16
47,skoda,672,14
64,pontiac,288,18
46,porsche,236,13
25,porsche,635,17
59,toyota,304,8
70,pontiac,493,20
27,mercedes,201,14
68,skoda,192,5
28,audi,723,14
65,pontiac,201,13
93,pontiac,400,18
47,mitsubishi,442,11
40,toyota,957,15
57,toyota,775,11
46,mitsubishi,925,16
86,pontiac,546,9
27,audi,555,12
52,toyota,966,19
92,mercedes,383,13
22,porsche,376,13
61,skoda,736,18
96,audi,968,10
35,mitsubishi,400,10
88,pontiac,763,18
80,mitsubishi,62,11
67,pontiac,762,9
92,pontiac,285,17
87,skoda,693,6
98,mercedes,545,12
91,ferrari,587,11
24,skoda,355,8
38,skoda,672,12
87,volkswagen,970,17
87,volkswagen,488,18
28,audi,954,19
30,ferrari,577,15
63,mitsubishi,428,7
44,mercedes,99,12
47,pontiac,933,8
83,mitsubishi,204,18
37,toyota,261,9
36,audi,186,9
52,porsche,619,15
26,pontiac,193,18
51,toyota,953,17
33,audi,483,7
86,porsche,420,11
69,audi,815,19
91,toyota,996,8
75,porsche,778,5
88,mercedes,967,8
85,mercedes,443,10
52,volkswagen,998,16
35,skoda,949,9
71,toyota,247,20
91,toyota,636,7
98,mercedes,964,19
88,mercedes,828,14
98,pontiac,478,16
84,audi,301,6
24,toyota,432,16
92,volkswagen,274,17
90,audi,523,6
49,skoda,986,12
69,skoda,315,11
69,audi,202,11
82,mitsubishi,920,12
93,audi,584,18
68,audi,258,8
45,mitsubishi,502,11
22,skoda,869,16
45,toyota,669,14
79,mitsubishi,508,16
76,volkswagen,703,15
21,mercedes,75,11
26,volkswagen,233,8
35,ferrari,312,8
54,porsche,756,14
41,porsche,88,8
62,porsche,627,13
43,porsche,228,5
24,porsche,777,16
58,toyota,807,16
50,toyota,547,17
51,porsche,741,17
95,volkswagen,275,13
80,toyota,450,12
92,pontiac,615,11
39,skoda,349,8
73,ferrari,512,8
25,volkswagen,885,5
74,toyota,922,14
95,pontiac,906,6
25,audi,743,9
81,skoda,704,14
53,porsche,998,18
67,skoda,465,11
71,mercedes,519,20
95,pontiac,597,11
75,audi,100,17
82,mitsubishi,556,19
67,mercedes,174,20
39,ferrari,590,13
37,mitsubishi,290,10
54,mitsubishi,897,19
47,skoda,518,12
79,toyota,456,15
89,volkswagen,270,15
55,mercedes,531,7
32,audi,671,18
37,pontiac,129,18
63,mercedes,764,8
79,mercedes,134,19
40,volkswagen,454,15
72,volkswagen,818,19
48,mercedes,85,18
79,mercedes,145,14
56,toyota,508,19
27,ferrari,130,13
41,porsche,55,10
85,ferrari,507,14
46,toyota,973,17
99,audi,202,18
45,porsche,648,12
38,mercedes,620,15
59,mercedes,548,14
49,porsche,369,19
93,toyota,394,9
24,skoda,247,9
78,audi,112,14
72,ferrari,570,16
21,audi,346,13
51,toyota,654,15
26,pontiac,488,19
79,ferrari,691,10
41,ferrari,213,20
30,volkswagen,551,14
59,mercedes,251,10
50,toyota,225,13
76,toyota,87,17
88,ferrari,163,16
69,volkswagen,512,11
37,porsche,763,19
77,mitsubishi,140,20
75,toyota,443,13
79,audi,95,15
85,volkswagen,881,13
100,pontiac,769,6
58,porsche,105,16
76,porsche,207,17
44,toyota,400,16
46,skoda,63,10
42,mitsubishi,263,11
55,mitsubishi,422,12
30,audi,255,12
81,ferrari,63,10
38,audi,371,9
92,toyota,707,10
71,porsche,761,7
49,mercedes,498,11
36,toyota,736,15
50,mercedes,690,9
27,pontiac,496,8
60,skoda,519,19
69,mercedes,318,6
64,skoda,374,13
63,ferrari,996,16
44,mercedes,385,14
32,volkswagen,396,7
78,pontiac,721,18
45,toyota,792,9
52,porsche,692,9
36,toyota,300,19
58,mercedes,670,9
87,mercedes,716,8
81,volkswagen,85,6
53,skoda,805,15
96,pontiac,736,8
24,mitsubishi,840,16
90,mercedes,632,13
34,volkswagen,702,8
70,ferrari,260,15
82,mercedes,150,16
31,pontiac,69,15
48,audi,669,10
23,audi,983,7
71,pontiac,667,11
54,toyota,868,11
47,skoda,90,7
55,volkswagen,780,11
27,volkswagen,341,17
52,skoda,495,8
89,mitsubishi,570,15
60,mitsubishi,296,7
27,ferrari,84,17
23,skoda,147,5
44,mitsubishi,592,7
20,porsche,645,10
21,mercedes,805,8
28,toyota,908,13
86,ferrari,484,12
38,toyota,464,16
41,mercedes,100,18
66,pontiac,786,13
53,mitsubishi,447,7
64,audi,444,12
83,mercedes,834,13
25,skoda,665,5
35,volkswagen,949,7
27,pontiac,125,14
40,volkswagen,909,17
49,audi,58,9
22,skoda,252,9
80,mercedes,861,14
21,mercedes,829,14
47,pontiac,368,19
53,porsche,393,12
27,toyota,863,11
48,volkswagen,358,12
58,mercedes,886,14
58,porsche,913,9
95,mitsubishi,470,14
47,skoda,130,15
65,mitsubishi,523,5
61,skoda,169,17
37,toyota,434,9
97,porsche,245,9
22,pontiac,736,10
57,volkswagen,580,14
64,audi,389,12
45,mitsubishi,882,14
36,toyota,675,11
35,toyota,544,9
94,mercedes,918,6
78,mitsubishi,661,19
66,pontiac,958,15
99,ferrari,148,10
83,pontiac,881,20
99,pontiac,502,16
75,toyota,933,9
54,mitsubishi,456,9
29,pontiac,649,11
100,toyota,340,9
86,audi,446,12
22,ferrari,986,19
81,mercedes,917,5
74,volkswagen,782,6
69,mercedes,985,9
41,mitsubishi,227,9
37,volkswagen,93,14
61,skoda,158,11
68,mercedes,115,14
48,porsche,436,8
29,mercedes,860,18
85,volkswagen,276,11
22,toyota,563,12
72,volkswagen,592,14
24,mercedes,241,12
26,mercedes,763,20
31,pontiac,318,6
83,porsche,885,15
60,toyota,332,14
61,porsche,812,10
26,mercedes,477,12
90,skoda,529,8
89,pontiac,715,13
40,volkswagen,660,17
26,pontiac,92,9
38,audi,471,13
43,volkswagen,103,13
96,mitsubishi,262,6
97,mitsubishi,675,11
26,ferrari,789,6
43,ferrari,219,18
48,skoda,386,17
96,pontiac,932,6
82,toyota,306,17
73,volkswagen,76,8
92,mitsubishi,56,7
28,mercedes,452,13
85,porsche,259,13
68,volkswagen,388,11
53,mercedes,100,12
95,audi,611,15
23,mercedes,683,12
60,mercedes,271,8
32,porsche,114,5
59,pontiac,456,12
41,skoda,667,6
66,audi,625,13
28,mitsubishi,484,18
59,audi,154,19
81,toyota,593,17
98,mercedes,658,15
86,pontiac,762,12
96,porsche,127,9
67,volkswagen,401,16
98,mercedes,624,9
81,mitsubishi,230,14
71,toyota,817,19
68,pontiac,111,13
86,toyota,56,19
83,porsche,126,7
71,skoda,298,6
55,mercedes,832,8
55,skoda,188,9
47,audi,522,9
61,ferrari,809,8
21,skoda,905,6
25,mitsubishi,164,8
83,skoda,527,19
45,skoda,645,14
71,pontiac,625,16
65,skoda,389,7
84,audi,478,15
99,mitsubishi,407,15
96,audi,397,14
67,mercedes,371,19
89,volkswagen,408,16
33,porsche,920,11
86,audi,310,10
79,toyota,85,7
80,mitsubishi,484,8
23,audi,791,11
72,mitsubishi,377,6
67,mercedes,370,13
45,pontiac,606,6
41,mitsubishi,691,7
25,skoda,889,7
39,pontiac,836,8
22,porsche,764,16
84,ferrari,426,15
33,mitsubishi,543,9
84,ferrari,79,11
45,toyota,580,8
79,skoda,1000,8
99,pontiac,338,15
79,mercedes,751,5
26,skoda,505,18
64,mitsubishi,341,11
74,mercedes,570,15
24,toyota,944,13
56,mercedes,694,12
85,ferrari,493,9
90,mercedes,993,10
46,porsche,828,14
79,volkswagen,446,6
69,mitsubishi,462,8
98,mitsubishi,284,16
89,skoda,240,8
26,mitsubishi,242,8
86,volkswagen,211,14
87,toyota,745,20
33,toyota,681,7
38,mercedes,237,12
66,porsche,532,10
84,mitsubishi,390,17
62,porsche,378,14
66,audi,281,19
35,mercedes,338,11
91,toyota,211,11
68,volkswagen,187,15
50,ferrari,748,11
94,mercedes,90,14
69,skoda,761,15
92,volkswagen,730,6
22,volkswagen,504,6
89,porsche,722,16
51,volkswagen,444,9
37,ferrari,489,18
76,mitsubishi,137,16
23,toyota,788,12
95,skoda,383,14
64,toyota,710,12
49,skoda,582,20
85,volkswagen,179,11
33,mercedes,367,12
41,mitsubishi,137,9
69,mercedes,850,18
71,mitsubishi,575,8
56,mercedes,245,8
61,ferrari,224,16
96,volkswagen,893,18
64,mitsubishi,679,14
31,audi,748,14
38,toyota,90,17
76,toyota,171,14
79,skoda,285,10
79,audi,887,5
76,skoda,536,15
58,pontiac,673,13
52,pontiac,497,15
26,ferrari,224,20
38,mitsubishi,64,6
35,audi,450,13
63,mitsubishi,878,12
70,audi,854,8
49,porsche,636,11
52,ferrari,928,16
80,ferrari,586,5
55,mercedes,984,18
26,audi,904,6
88,mitsubishi,663,9
76,volkswagen,541,17
95,skoda,138,9
73,ferrari,748,7
34,volkswagen,853,11
33,mitsubishi,986,12
65,mercedes,178,8
50,mitsubishi,881,12
55,ferrari,945,17
73,skoda,590,18
97,mercedes,631,8
81,mercedes,697,9
63,toyota,875,11
43,audi,528,8
37,porsche,587,20
98,audi,672,8
51,porsche,733,8
88,audi,323,12
68,mercedes,184,10
57,mitsubishi,302,14
83,mercedes,850,11
85,mitsubishi,575,20
89,volkswagen,76,10
93,mercedes,367,12
49,skoda,280,19
70,pontiac,836,10
67,volkswagen,558,8
81,pontiac,364,14
40,ferrari,372,11
87,volkswagen,573,18
59,mercedes,90,19
81,volkswagen,834,19
54,audi,849,15
46,porsche,627,19
85,audi,658,9
30,ferrari,414,20
46,mitsubishi,879,14
53,mercedes,154,18
31,audi,724,6
79,porsche,895,6
47,toyota,891,5
42,ferrari,128,15
70,porsche,160,7
70,mitsubishi,410,17
48,volkswagen,140,16
92,mitsubishi,274,12
71,ferrari,643,16
75,toyota,308,7
60,audi,896,12
24,toyota,964,18
91,toyota,553,13
43,porsche,820,12
59,pontiac,774,14
59,toyota,349,11
34,mercedes,568,7
84,audi,170,9
63,mercedes,204,8
84,mitsubishi,909,14
82,porsche,580,17
47,skoda,451,14
92,ferrari,683,17
42,mercedes,422,8
60,mercedes,184,11
39,mitsubishi,174,20
100,ferrari,480,8
40,skoda,207,14
58,porsche,959,10
89,volkswagen,925,12
56,skoda,307,7
70,volkswagen,476,10
72,audi,292,11
29,mercedes,284,13
34,mercedes,829,7
52,audi,778,18
77,porsche,823,17
65,audi,682,15
38,toyota,462,20
75,mitsubishi,87,10
45,mercedes,269,9
81,volkswagen,825,10
79,volkswagen,317,19
23,skoda,990,16
45,mercedes,539,11
81,mitsubishi,834,10
76,ferrari,696,9
82,porsche,318,17
76,pontiac,322,6
83,mitsubishi,721,14
85,audi,79,8
23,volkswagen,178,12
74,mercedes,249,15
72,volkswagen,973,18
56,audi,973,20
83,skoda,771,17
51,ferrari,633,15
97,porsche,814,7
40,toyota,685,15
69,audi,564,16
23,ferrari,288,19
25,ferrari,430,17
95,audi,791,14
55,mitsubishi,926,6
65,ferrari,258,12
31,mitsubishi,558,5
36,skoda,193,8
88,ferrari,781,10
69,audi,154,15
52,skoda,629,16
67,porsche,249,19
89,skoda,472,9
27,audi,91,14
22,mitsubishi,591,14
78,ferrari,206,11
56,audi,799,17
86,mitsubishi,424,18
98,mitsubishi,88,18
34,audi,701,17
43,ferrari,334,6
69,porsche,877,17
39,ferrari,293,10
58,ferrari,194,11
46,audi,102,10
88,porsche,884,7
73,pontiac,859,20
96,toyota,900,13
96,mercedes,557,20
26,audi,409,16
52,skoda,330,10
69,mercedes,558,11
35,audi,408,9
68,pontiac,508,6
80,ferrari,449,20
99,volkswagen,140,12
53,skoda,354,18
89,skoda,886,8
67,pontiac,791,9
47,pontiac,933,8
83,mitsubishi,204,18
37,toyota,261,9
36,audi,186,9
52,porsche,619,15
26,pontiac,193,18
51,toyota,953,17
33,audi,483,7
86,porsche,420,11
69,audi,815,19
91,toyota,996,8
75,porsche,778,5
88,mercedes,967,8
85,mercedes,443,10
52,volkswagen,998,16
35,skoda,949,9
71,toyota,247,20
91,toyota,636,7
98,mercedes,964,19
88,mercedes,828,14
98,pontiac,478,16
84,audi,301,6
24,toyota,432,16
92,volkswagen,274,17
90,audi,523,6
49,skoda,986,12
69,skoda,315,11
69,audi,202,11
82,mitsubishi,920,12
93,audi,584,18
68,audi,258,8
45,mitsubishi,502,11
22,skoda,869,16
45,toyota,669,14
79,mitsubishi,508,16
76,volkswagen,703,15
21,mercedes,75,11
26,volkswagen,233,8
35,ferrari,312,8
54,porsche,756,14
41,porsche,88,8
62,porsche,627,13
43,porsche,228,5
24,porsche,777,16
58,toyota,807,16
50,toyota,547,17
51,porsche,741,17
95,volkswagen,275,13
80,toyota,450,12
92,pontiac,615,11
39,skoda,349,8
73,ferrari,512,8
25,volkswagen,885,5
74,toyota,922,14
95,pontiac,906,6
25,audi,743,9
81,skoda,704,14
53,porsche,998,18
67,skoda,465,11
71,mercedes,519,20
95,pontiac,597,11
75,audi,100,17
82,mitsubishi,556,19
67,mercedes,174,20
39,ferrari,590,13
37,mitsubishi,290,10
54,mitsubishi,897,19
47,skoda,518,12
79,toyota,456,15
89,volkswagen,270,15
55,mercedes,531,7
32,audi,671,18
37,pontiac,129,18
63,mercedes,764,8
79,mercedes,134,19
40,volkswagen,454,15
72,volkswagen,818,19
48,mercedes,85,18
79,mercedes,145,14
56,toyota,508,19
27,ferrari,130,13
41,porsche,55,10
85,ferrari,507,14
46,toyota,973,17
99,audi,202,18
45,porsche,648,12
38,mercedes,620,15
59,mercedes,548,14
49,porsche,369,19
93,toyota,394,9
24,skoda,247,9
78,audi,112,14
72,ferrari,570,16
21,audi,346,13
51,toyota,654,15
26,pontiac,488,19
79,ferrari,691,10
41,ferrari,213,20
30,volkswagen,551,14
59,mercedes,251,10
50,toyota,225,13
76,toyota,87,17
88,ferrari,163,16
69,volkswagen,512,11
37,porsche,763,19
77,mitsubishi,140,20
75,toyota,443,13
79,audi,95,15
85,volkswagen,881,13
100,pontiac,769,6
58,porsche,105,16
76,porsche,207,17
44,toyota,400,16
46,skoda,63,10
42,mitsubishi,263,11
55,mitsubishi,422,12
30,audi,255,12
81,ferrari,63,10
38,audi,371,9
92,toyota,707,10
71,porsche,761,7
49,mercedes,498,11
36,toyota,736,15
50,mercedes,690,9
27,pontiac,496,8
60,skoda,519,19
69,mercedes,318,6
64,skoda,374,13
63,ferrari,996,16
44,mercedes,385,14
32,volkswagen,396,7
78,pontiac,721,18
45,toyota,792,9
52,porsche,692,9
36,toyota,300,19
58,mercedes,670,9
87,mercedes,716,8
81,volkswagen,85,6
53,skoda,805,15
96,pontiac,736,8
24,mitsubishi,840,16
90,mercedes,632,13
34,volkswagen,702,8
70,ferrari,260,15
82,mercedes,150,16
31,pontiac,69,15
48,audi,669,10
23,audi,983,7
71,pontiac,667,11
54,toyota,868,11
47,skoda,90,7
55,volkswagen,780,11
27,volkswagen,341,17
52,skoda,495,8
89,mitsubishi,570,15
60,mitsubishi,296,7
27,ferrari,84,17
23,skoda,147,5
44,mitsubishi,592,7
20,porsche,645,10
21,mercedes,805,8
28,toyota,908,13
86,ferrari,484,12
38,toyota,464,16
41,mercedes,100,18
66,pontiac,786,13
53,mitsubishi,447,7
64,audi,444,12
83,mercedes,834,13
25,skoda,665,5
35,volkswagen,949,7
27,pontiac,125,14
40,volkswagen,909,17
49,audi,58,9
22,skoda,252,9
80,mercedes,861,14
21,mercedes,829,14
47,pontiac,368,19
53,porsche,393,12
27,toyota,863,11
48,volkswagen,358,12
58,mercedes,886,14
58,porsche,913,9
95,mitsubishi,470,14
47,skoda,130,15
65,mitsubishi,523,5
61,skoda,169,17
37,toyota,434,9
97,porsche,245,9
22,pontiac,736,10
57,volkswagen,580,14
64,audi,389,12
45,mitsubishi,882,14
36,toyota,675,11
35,toyota,544,9
94,mercedes,918,6
78,mitsubishi,661,19
66,pontiac,958,15
99,ferrari,148,10
83,pontiac,881,20
99,pontiac,502,16
75,toyota,933,9
54,mitsubishi,456,9
29,pontiac,649,11
100,toyota,340,9
86,audi,446,12
22,ferrari,986,19
81,mercedes,917,5
74,volkswagen,782,6
69,mercedes,985,9
41,mitsubishi,227,9
37,volkswagen,93,14
61,skoda,158,11
68,mercedes,115,14
48,porsche,436,8
29,mercedes,860,18
85,volkswagen,276,11
22,toyota,563,12
72,volkswagen,592,14
24,mercedes,241,12
26,mercedes,763,20
31,pontiac,318,6
83,porsche,885,15
60,toyota,332,14
61,porsche,812,10
26,mercedes,477,12
90,skoda,529,8
89,pontiac,715,13
40,volkswagen,660,17
26,pontiac,92,9
38,audi,471,13
43,volkswagen,103,13
96,mitsubishi,262,6
97,mitsubishi,675,11
26,ferrari,789,6
43,ferrari,219,18
48,skoda,386,17
96,pontiac,932,6
82,toyota,306,17
73,volkswagen,76,8
92,mitsubishi,56,7
28,mercedes,452,13
85,porsche,259,13
68,volkswagen,388,11
53,mercedes,100,12
95,audi,611,15
23,mercedes,683,12
60,mercedes,271,8
32,porsche,114,5
59,pontiac,456,12
41,skoda,667,6
66,audi,625,13
28,mitsubishi,484,18
59,audi,154,19
81,toyota,593,17
98,mercedes,658,15
86,pontiac,762,12
96,porsche,127,9
67,volkswagen,401,16
98,mercedes,624,9
81,mitsubishi,230,14
71,toyota,817,19
68,pontiac,111,13
86,toyota,56,19
83,porsche,126,7
71,skoda,298,6
55,mercedes,832,8
55,skoda,188,9
47,audi,522,9
61,ferrari,809,8
21,skoda,905,6
25,mitsubishi,164,8
83,skoda,527,19
45,skoda,645,14
71,pontiac,625,16
65,skoda,389,7
84,audi,478,15
99,mitsubishi,407,15
96,audi,397,14
67,mercedes,371,19
89,volkswagen,408,16
33,porsche,920,11
86,audi,310,10
79,toyota,85,7
80,mitsubishi,484,8
